environment,ruby,yjit,layer,case,operations_per_second,avg_ms,p50_ms,p95_ms,rows_per_operation,bytes_per_operation,calls,rows,bytes
jarvis-container,3.4.6,off,MiniSql,latest_page,3343.733834866627,0.2988823780040078,0.28290500631555915,0.37076103035360575,30.0,3141.2981039535857,33438,1003140,105038726
jarvis-container,3.4.6,off,MiniSql,topic_header,13683.355968329664,0.07284028809919733,0.07683795411139727,0.08588802302256227,1.0,75.59895932297529,136834,136834,10344508
jarvis-container,3.4.6,off,MiniSql,post_stream,11948.9983486519,0.083479498865616,0.0774250365793705,0.10718399425968528,6.866207496798922,1754.8204467282055,119491,820450,209685250
jarvis-container,3.4.6,off,MiniSql,user_card,11270.158956366335,0.0884805991758949,0.08155597606673837,0.11205498594790697,1.0,58.41068481482139,112702,112702,6583001
jarvis-container,3.4.6,off,MiniSql,category_counts,174.70649910828072,5.723437066761366,5.683456023689359,5.925342033151537,20.0,530.0,1748,34960,926440
jarvis-container,3.4.6,off,MiniSql,temp_write_event,55384.84695232494,0.017905196748504947,0.016673991922289133,0.01812702976167202,1.0,14.888651961094089,553849,553849,8246065
jarvis-container,3.4.6,off,MiniSql,temp_readback,51939.401486409864,0.019117760545350523,0.018093036487698555,0.01956196501851082,1.0,2.0,519395,519395,1038790
jarvis-container,3.4.6,off,ActiveRecord,latest_page,1122.9694680317525,0.8900164457980149,0.8473769994452596,1.0854610009118915,30.0,3140.9445235975068,11230,336900,35272807
jarvis-container,3.4.6,off,ActiveRecord,topic_header,4468.98385246237,0.22340183557892038,0.18841202836483717,0.32892002491280437,1.0,75.61511266250476,44691,44691,3379315
jarvis-container,3.4.6,off,ActiveRecord,post_stream,3931.022662237703,0.2540341511650487,0.23700098972767591,0.36899500992149115,6.867314492126885,1756.031746839307,39311,269961,69031364
jarvis-container,3.4.6,off,ActiveRecord,user_card,4638.078128952702,0.2152441901220054,0.193147046957165,0.32781000481918454,1.0,58.41069811564831,46382,46382,2709205
jarvis-container,3.4.6,off,ActiveRecord,category_counts,167.18210990957783,5.980962409525631,5.959400034043938,6.151081994175911,20.0,530.0,1672,33440,886160
jarvis-container,3.4.6,off,ActiveRecord,temp_write_event,6861.991448312564,0.14538186683412965,0.12613798025995493,0.18445000750944018,1.0,14.88763078895981,68622,68622,1021619
jarvis-container,3.4.6,off,ActiveRecord,temp_readback,15074.353284591984,0.06607360657629831,0.0604590168222785,0.08748599793761969,1.0,2.0,150744,150744,301488
