environment,ruby,yjit,layer,sessions_per_second,operations_per_second,rows_materialized,bytes_materialized,relative_to_ar_same_ruby_yjit
jarvis-container,3.4.6,off,MiniSql,646.3699497804304,4524.589648463012,2209368,245297571,2.038
jarvis-container,3.4.6,off,ActiveRecord,317.16664533522055,2220.166517346544,1082604,120152413,1.000
jarvis-container,3.4.6,on,MiniSql,644.4811301426835,4511.367910998784,2202797,244572485,1.510
jarvis-container,3.4.6,on,ActiveRecord,426.8003014997689,2987.6021104983824,1458533,161934546,1.000
jarvis-container,4.0.5,off,MiniSql,626.2093320331714,4383.4653242322,2140322,237633752,1.839
jarvis-container,4.0.5,off,ActiveRecord,340.5640371964393,2383.9482603750753,1162503,129022117,1.000
jarvis-container,4.0.5,on,MiniSql,659.5960111587328,4617.17207811113,2254632,250326742,1.535
jarvis-container,4.0.5,on,ActiveRecord,429.7083157797326,3007.958210458128,1468661,163057601,1.000
wasnotwas-docker,3.4.6,off,MiniSql,146.98977749897716,1028.92844249284,501748,55734747,2.624
wasnotwas-docker,3.4.6,off,ActiveRecord,56.02496372266554,392.17474605865874,191248,21276794,1.000
wasnotwas-docker,3.4.6,on,MiniSql,148.390598164991,1038.734187154937,506601,56273037,1.864
wasnotwas-docker,3.4.6,on,ActiveRecord,79.62436527505837,557.3705569254086,271743,30185294,1.000
wasnotwas-docker,4.0.5,off,MiniSql,127.74965144355112,894.2475601048578,436271,48450812,2.268
wasnotwas-docker,4.0.5,off,ActiveRecord,56.32659141959587,394.2861399371711,192319,21395257,1.000
wasnotwas-docker,4.0.5,on,MiniSql,140.60362055481923,984.2253438837347,480082,53322473,1.606
wasnotwas-docker,4.0.5,on,ActiveRecord,87.53978694844818,612.7785086391373,298578,33156499,1.000
